Notes,Census Region,Census Region Code,State,State Code,Births,% of Total Births,Total Population,Birth Rate,Average Age of Mother
Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information.,,,,,,,,,
---,,,,,,,,,
"Query Date: Oct 28, 2022 9:04:08 AM",,,,,,,,,
---,,,,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,,,,,
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2020, as compiled from data provided by",,,,,,,,,
the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at,,,,,,,,,
"http://wonder.cdc.gov/natality-current.html on Oct 28, 2022 9:04:08 AM",,,,,,,,,
---,,,,,,,,,
Caveats:,,,,,,,,,
1. Each birth record represents one liveborn infant.,,,,,,,,,
2. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is,,,,,,,,,
"sub-set by mother's race, mother's hispanicity, location, or year of birth, then the same sub-set for age, race, hispanicity,",,,,,,,,,
location and year applies to the denominator population.,,,,,,,,,
3. Caution should be used when interpreting the Average Age of Mother measure. All ages 12 years and less are coded to 12 years.,,,,,,,,,
All ages 50 years and over are coded to 50 years. The number of counts in those two age goups are small and should not have a,,,,,,,,,
great effect on the average age. Consider doing queries with and without these two age groups and compare the effect on Average,,,,,,,,,
Age of Mother measure.,,,,,,,,,
4. Please note that the Percent of Total presented here may not be consistent with percentages published by NCHS. NCHS excludes,,,,,,,,,
"births categorized as ""Unknown"", ""Not Stated"", ""Not on Certificate"", ""Excluded"", and ""Not Reported"" from the",,,,,,,,,
denominator when calculating percentages.,,,,,,,,,
5. Birth rates and fertility rates are calculated using the following populations: The populations for year 2019 are from the,,,,,,,,,
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 25, 2020; and",,,,,,,,,
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on July 9, 2020. The",,,,,,,,,
"populations for year 2018 are from the postcensal single-race series of July 1st estimates of the resident population, released",,,,,,,,,
"by Census Bureau on June 21, 2019; and the postcensal bridged-race series of July 1st estimates of the resident population,",,,,,,,,,
"released by NCHS on June 27, 2019. The populations for year 2017 are from the postcensal single-race series of July 1st",,,,,,,,,
"estimates of the resident population, released by Census Bureau on June 21, 2018; and the postcensal bridged-race series of July",,,,,,,,,
"1st estimates of the resident population, released by NCHS on June 27, 2018. The populations for year 2016 are from the",,,,,,,,,
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 22, 2017; and",,,,,,,,,
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on June 26, 2017. The",,,,,,,,,
"populations for year 2015 are from the postcensal bridged-race series of July 1st estimates of the resident population, released",,,,,,,,,
"by NCHS on June 28, 2016. The populations for year 2014 are from the postcensal bridged-race series of July 1st estimates of the",,,,,,,,,
"resident population, released by NCHS on June 30, 2015. The populations for year 2013 are from the postcensal bridged-race",,,,,,,,,
"series of July 1st estimates of the resident population, released by NCHS on June 26, 2014. The populations for year 2012 are",,,,,,,,,
"from the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on June 13, 2013. The",,,,,,,,,
"populations for year 2011 are from the postcensal bridged-race series of July 1st estimates of the resident population, released",,,,,,,,,
"by NCHS on July 18, 2012. The populations for year 2010 are the bridged-race April 1, 2010 Census counts. The populations for",,,,,,,,,
"years 2007-2009 are from the revised intercensal bridged-race series of July 1st estimates of the resident population, released",,,,,,,,,
"by NCHS on October 26, 2012. More information: http://wonder.cdc.gov/wonder/help/Natality.html#Denominator-Population-Sources.",,,,,,,,,
